"","created_at","screen_name","name","source","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","retweet_screen_name","retweet_name","retweet_followers_count"
"1","2020-08-16 00:55:29","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","Perkembangan Kasus #COVID19 di Amerika Serikat (periode 15 Agustus 2020).
.
.
.
#IniDiplomasi #NegaraMelindungi #IndonesianWay #LawanCOVID19 #BersamaKitaBisa #StopTheSpread https://t.co/EbJQy4lU1t","172","FALSE","FALSE","1","0",NA,NA,NA
"2","2020-08-15 15:10:25","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","Update Perkembangan COVID-19 di Dunia dan Pelindungan WNI per 15 Agustus 2020 pukul 08.00  WIB.
Source: @Kemlu_RI

#IniDiplomasi #NegaraMelindungi #LawanCovid19 #IndonesianWay https://t.co/TwhSU9Z71N","175","FALSE","FALSE","0","0",NA,NA,NA
"3","2020-08-15 15:09:00","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","Perkembangan Kasus #COVID19 di Indonesia (periode 15 Agustus 2020).
Source: @BNPB_Indonesia 
.
.
.
#IniDiplomasi #NegaraMelindungi #IndonesianWay #LawanCOVID19 #BersamaKitaBisa #StopTheSpread
#DiRumahAja #BersatuLawanCovid19 https://t.co/6Xzsn4UqFp","224","FALSE","FALSE","1","0",NA,NA,NA
"4","2020-08-15 10:19:58","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","Perkembangan Kasus #COVID19 di Amerika Serikat (periode 14 Agustus 2020).
.
.
.
#IniDiplomasi #NegaraMelindungi #IndonesianWay #LawanCOVID19 #BersamaKitaBisa #StopTheSpread https://t.co/MvJKg8qfWj","172","FALSE","FALSE","2","0",NA,NA,NA
"5","2020-08-14 20:06:49","KBRIWashDC","IndonesianEmbassy DC","Twitter for iPhone","#DidYouKnow that Aug 14 is commemorated annually in #Indonesia as <U+0001F1EE><U+0001F1E9>National #ScoutsDay (#HariPramuka) because that day the 1st <U+0001F1EE><U+0001F1E9>Scouts National Leadership Committee, led by the #Jogjakarta's Sultan Sri Sultan Hamengku Buwono IX, was officiated by Pres. Soekarno?

#IndonesianWay","280","FALSE","FALSE","0","0",NA,NA,NA
"6","2020-08-14 20:06:48","KBRIWashDC","IndonesianEmbassy DC","Twitter for iPhone","Selamat Hari #Pramuka Nasional ~ Happy Indonesian Scouts Day!
In #ThisYear's commemoration, we especially recognize the roles of <U+0001F1EE><U+0001F1E9> boy &amp; girl #scouts in helping cope w/ the #covid19pandemic, as well as in defending&amp;representing their country&amp;nation.

#HariPramuka #IndonesianWay https://t.co/QrDE8oAfun","291","FALSE","FALSE","3","0",NA,NA,NA
"7","2020-08-14 15:59:46","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","This year’s #commemoration of <U+0001F1EE><U+0001F1E9>'s #IndependenceDay to be held on Aug 17, will be adjusted to a limited basis, in adherence to the #healthprotocol due to the ongoing #Covid19pandemic. These are the pics of #rehearsals towards the ceremony, adjusted to that setting.
#MenujuHUTRI75 https://t.co/yy5htFuQp9","280","FALSE","FALSE","1","0",NA,NA,NA
"8","2020-08-14 15:29:03","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","For safety during this pandemic, we decided not to host our annual <U+0001F1EE><U+0001F1E9> #IndependenceDay #food #bazaar. But u can still order authentic <U+0001F1EE><U+0001F1E9>#culinary &amp; pick up at this #shopping #drivethrough hosted by @imaamcenter this #Sunday, Aug 16. More info on the pics<U+2B07><U+FE0F>.
#FoodFriday #HUTRI75DC https://t.co/LxG3Oa5LRE","284","FALSE","FALSE","2","0",NA,NA,NA
"9","2020-08-14 14:14:44","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","Update Perkembangan COVID-19 di Dunia dan Pelindungan WNI per 14 Agustus 2020 pukul 08.00  WIB.
Source: @Kemlu_RI

#IniDiplomasi #NegaraMelindungi #LawanCovid19 #IndonesianWay https://t.co/xSWW9C4vNu","175","FALSE","FALSE","0","0",NA,NA,NA
"10","2020-08-14 14:13:57","KBRIWashDC","IndonesianEmbassy DC","Twitter Web App","Perkembangan Kasus #COVID19 di Indonesia (periode 14 Agustus 2020).
Source: @BNPB_Indonesia 
.
.
.
#IniDiplomasi #NegaraMelindungi #IndonesianWay #LawanCOVID19 #BersamaKitaBisa #StopTheSpread
#DiRumahAja #BersatuLawanCovid19 https://t.co/QpJVJj7KpY","224","FALSE","FALSE","0","0",NA,NA,NA
