"","created_at","screen_name","name","source","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","retweet_screen_name","retweet_name","retweet_followers_count"
"1","2020-08-14 08:18:42","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","The Republic of Indonesia will celebrate its 75th birthday on the 17th of August. On this occasion we are dedicating today's festive language lesson to numbers and phrases related to age and birthdays. 
#LearningFromHome #bahasa_indonesia #Indonesia https://t.co/RJWQeuTYFm","249","FALSE","FALSE","0","0",NA,NA,NA
"2","2020-08-12 12:53:08","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","Today we are taking a journey to West Timor, the western part of Timor island, located in the East Nusa Tenggara Province. Read more: <U+27A1><U+FE0F>https://t.co/K6lJoLq8n5 and <U+27A1><U+FE0F>https://t.co/ImcXs25rop
Photos: https://t.co/QXqgq1MyND
#Indonesia #IndonesiaMaju #StayAtHome #TravelTomorrow https://t.co/yqLbNudLTy","275","FALSE","FALSE","0","0",NA,NA,NA
"3","2020-08-10 10:56:21","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","While awaiting the upcoming Indonesian Independence Day, we are sharing a celebratory recipe: nasi kuning or Indonesian yellow rice. This dish is usually prepared during festivals, religious and national celebrations, birthdays and weddings.
#IndonesiaMaju #Indonesia #Food https://t.co/XgpaClwHrN","273","FALSE","FALSE","0","0",NA,NA,NA
"4","2020-08-09 10:30:21","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","On August 9th the International Day of the World’s Indigenous Peoples is commemorated to raise awareness of the needs of indigenous peoples. 
Find out more at: https://t.co/xsMYCo92D9
#IndonesiaMaju #WorldIndigenousPeoplesDay https://t.co/MYBGbVY4TC","225","FALSE","FALSE","1","1",NA,NA,NA
"5","2020-08-07 14:59:13","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","Today's language lesson focuses on time, days of the week, months and seasons. 
It has already been 2 months of Friday Indonesian language lessons and we hope you are having fun learning from home. Stay tuned for next week's lesson!
#learningfromhome #Indonesia #IndonesiaMaju https://t.co/tb8iCJoCOI","276","FALSE","FALSE","2","0",NA,NA,NA
"6","2020-08-05 11:12:37","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","Let's explore another hidden gem of the Coral Triangle: the Raja Ampat islands. 
Read more: <U+27A1><U+FE0F>https://t.co/J4kGb1fTB7 and <U+27A1><U+FE0F>https://t.co/YPdNdqldxA
Photo credits: Indonesia Travel
#StayAtHome #TravelTomorrow #Indonesia #IndonesiaMaju #thoughtfulindonesia  #WonderfulIndonesia https://t.co/OxI9MVUq8r","275","FALSE","FALSE","2","0",NA,NA,NA
"7","2020-08-03 11:50:23","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","Bakso ayam, Indonesian chicken meatballs, is a popular dish that is made at home in many families and also sold frequently in street vendors and restaurants throughout Indonesia, most commonly in a soup with noodles.
Enjoy preparing this recipe!
#Indonesia #IndonesiaMaju #Food https://t.co/FWbUHha4Qw","277","FALSE","FALSE","0","0",NA,NA,NA
"8","2020-08-01 16:03:18","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","Summer is already in full swing, and while some of you are already at sea, others are certainly daydreaming about the beach and the joys of summer. Today we are learning some words and phrases connected to summertime.
#bahasaindonesia #Indonesia #learningfromhome #rintiskemajuan https://t.co/zeVkrLHbJ1","279","FALSE","FALSE","0","0",NA,NA,NA
"9","2020-07-24 13:24:24","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","Indonesia is rich in various fruits. Whether as a snack or refreshment, raw or incorporated into a dish, the fruit will give you energy and vitamins throughout the year. Today we are learning words for some of the delicious fruits. Enjoy!
#Indonesia #rintiskemajuan #indonesianway https://t.co/iowtx3nPrY","280","FALSE","FALSE","1","0",NA,NA,NA
"10","2020-07-23 20:51:59","indonesiazagreb","Indonesian Embassy Zagreb","Twitter Web App","Happy National Children's Day! Every 23 July Indonesia celebrates Children's Day to raise awareness about the rights of children and the importance in providing each child a safe and happy environment.
#rintiskemajuan #kbrizagreb #Indonesia #HariAnakNasional2020 #indonesianway https://t.co/Fl4hvnbH7w","277","FALSE","FALSE","1","0",NA,NA,NA
