"","created_at","screen_name","name","source","text","display_text_width","is_quote","is_retweet","favorite_count","retweet_count","retweet_screen_name","retweet_name","retweet_followers_count"
"1","2020-08-18 02:07:27","kbri_caracas","KBRI Caracas","Instagram","Menutup rangkaian Peringatan HUT Kemerdekaan RI ke-75, KBRI Caracas melaksanakan apel penurunan bendera. 

Semua rangkaian kegiatan dilaksanakan dengan tetap memperhatikan protokol kesehatan https://t.co/cE7bsUJrO8","214","FALSE","FALSE","0","0",NA,NA,NA
"2","2020-08-18 01:45:32","kbri_caracas","KBRI Caracas","Instagram","Syukuran sederhana HUT Kemerdekaan RI ke-75..

Keterbatasan dan kesulitan yang kita hadapi saat ini, tidak menyurutkan niat untuk tetap bersyukur akan nikmat kemerdekaan yang kita rasakan bersama saat ini.… https://t.co/UzO3JbJlfo","230","FALSE","FALSE","0","0",NA,NA,NA
"3","2020-08-18 01:28:11","kbri_caracas","KBRI Caracas","Instagram","Upacara Peringatan HUT Kemerdekaan RI ke-75, Indonesia Maju

#independenceday 
#HUTRI75 @ Caracas https://t.co/PTEzfTBUGF","121","FALSE","FALSE","0","0",NA,NA,NA
"4","2020-08-17 03:31:49","kbri_caracas","KBRI Caracas","Instagram","""Hari Merdeka, Nusa dan Bangsa, Hari Lahirnya Bangsa Indonesia"" 17 Agustus 2020 #independenceday https://t.co/RM0tDyQeBt","120","FALSE","FALSE","3","4",NA,NA,NA
"5","2020-08-10 20:27:09","kbri_caracas","KBRI Caracas","Instagram","Perayaan ASEAN DAY ke-53 di Caracas dirayakan dengan prosesi Peletakan Karangan Bunga di Monumen Panteón Nasional. 

#aseanday 
#aseanway 
#asean53 @ Panteón Nacional de Venezuela https://t.co/lalC1suZFr","203","FALSE","FALSE","1","0",NA,NA,NA
"6","2020-08-01 21:22:25","kbri_caracas","KBRI Caracas","Instagram","Setiap awal selalu ada akhir.. Sertijab Dubes RI Caracas tertanggal 31 Juli 2020 mengakhiri masa tugas Bpk Mochammad Luthfie Witto'eng sebagai Dubes RI Caracas, digantikan sementara oleh Bpk Suri Tauchid Ishak… https://t.co/cVrYZpvMa7","234","FALSE","FALSE","0","0",NA,NA,NA
"7","2020-08-01 13:37:50","kbri_caracas","KBRI Caracas","Instagram","Sertijab Kepala Kanselerai KBRI Caracas, dari Bpk Suri Tauchid Ishak kepada Bpk Muhamad Benyamin Abiyoga. 30-07-2020 https://t.co/nYI2uWyNWG","140","FALSE","FALSE","0","0",NA,NA,NA
"8","2020-08-01 12:18:51","kbri_caracas","KBRI Caracas","Instagram","Sertijab Ketua DWP KBRI Caracas dari Ibu Diana Luthfie kepada Ibu Evi Sofiha sebagai Ketua DWP Antar Waktu KBRI Caracas. 30-07-2020

#DWP 
#kemlu_ri https://t.co/8K67gmI2Kz","172","FALSE","FALSE","0","0",NA,NA,NA
"9","2020-07-23 15:13:35","kbri_caracas","KBRI Caracas","Instagram","#Repost inalacbizforum
• • •
Serial Webinar “Indonesia – the Americas” : Potensi Bisnis Indonesia - Panama, Venezuela &amp; Ekuador
•
<U+0001F5D3> Jumat, 24 Juli 2020
<U+0001F550> 09.00 - 11.00 WIB
Daftarkan diri anda di <U+0001D425><U+0001D422><U+0001D427><U+0001D424> <U+0001D429><U+0001D41A><U+0001D41D><U+0001D41A> <U+0001D41B><U+0001D422><U+0001D428>, atau… https://t.co/KjPo53b4FJ","243","FALSE","FALSE","1","0",NA,NA,NA
"10","2020-07-14 09:59:55","kbri_caracas","KBRI Caracas","Instagram","Dubes RI mengunjungi Wakil Menteri Luar Negeri Urusan Amerika Latin,  Venezuela, untuk membicarakan hubungan bilateral serta pendekatan kedua negara dalam menghadapi pandemik Covid-19

#IniDiplomasi 
#IndonesianWay… https://t.co/RslHluR3Da","239","FALSE","FALSE","0","0",NA,NA,NA
