"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","RT @Kemlu_RI: #SahabatKemlu, berikut Perkembangan #COVID19 di Dunia &amp; Pelindungan WNI per 13/08 pkl 08.00 WIB. 

Tmbhan WNI terkonfirmasi C…",FALSE,0,NA,2020-08-13 04:12:54,FALSE,NA,"1293762430112346112",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",11,TRUE,FALSE,NA,NA
"2","FORUM BHYANGKARA INDONESIA DPD BANTEN GELAR ACARS SERAH TERIMA SK DPC KOTA TANGERANG - FBI NEWS https://t.co/Z2oSduOgxN",FALSE,1,NA,2020-08-13 03:15:41,FALSE,NA,"1293748029527166978",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Fbinews7",0,FALSE,FALSE,NA,NA
"3","RT @prastow: @wadinug @reynold_prima @VeronicaKoman 5.3.1 Penerima Beasiswa yang telah menyelesaikan studi wajib melaporkan penyelesaian st…",FALSE,0,NA,2020-08-13 02:44:21,FALSE,NA,"1293740142541201408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Itisjustatweet",3,TRUE,FALSE,NA,NA
"4","RT @prastow: @wadinug @reynold_prima @VeronicaKoman 5.3.1 Penerima Beasiswa yang telah menyelesaikan studi wajib melaporkan penyelesaian st…",FALSE,0,NA,2020-08-13 02:40:47,FALSE,NA,"1293739247426351104",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","HMV5888",3,TRUE,FALSE,NA,NA
"5","RT @prastow: @wadinug @reynold_prima @VeronicaKoman 5.3.1 Penerima Beasiswa yang telah menyelesaikan studi wajib melaporkan penyelesaian st…",FALSE,0,NA,2020-08-13 02:39:51,FALSE,NA,"1293739010444029952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sebuaandre",3,TRUE,FALSE,NA,NA
"6","@wadinug @reynold_prima @VeronicaKoman 5.3.1 Penerima Beasiswa yang telah menyelesaikan studi wajib melaporkan peny… https://t.co/h3PKBk1hKB",FALSE,14,"wadinug",2020-08-13 02:37:49,TRUE,"1293737662084345858","1293738498009133057","793368449644793856","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","prastow",3,FALSE,FALSE,NA,NA
"7","RT @avec_moi_71: 3. Ramai diperdagangkan. Banyak investor yg memiliki dan memperdagangkan saham ini 
4. Saham dari perusahaan yang jadi mar…",FALSE,0,NA,2020-08-13 02:33:24,FALSE,NA,"1293737386199773185",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","summerboys9900",0,TRUE,FALSE,NA,NA
"8","Alhamdulillah, per tanggal 10 Agustus 2020 MES telah terbentuk di Kabupaten Lombok Timur melalui Surat Keputusan Pe… https://t.co/pv1lgMrXyQ",FALSE,0,NA,2020-08-13 01:34:13,TRUE,NA,"1293722494851936256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mes_indonesia",1,FALSE,FALSE,NA,NA
"9","RT @shookookkk: indonesia udh masuk fase end game pandemi, dmn tidak kuatnya sistem kesehatan yang mulai jatuh melawan penyebaran covid-19…",FALSE,0,NA,2020-08-13 01:00:53,FALSE,NA,"1293714105224724480",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rainhyun_sk",8895,TRUE,FALSE,NA,NA
"10","RT @Kemlu_RI: Pimpin sidang DK PBB (12/08), #MenluRetno tegaskan: 1. Bina damai hrs jadi bagian penanggulanan pandemi scr komprehensif; 2.…",FALSE,0,NA,2020-08-12 17:10:02,FALSE,NA,"1293595612118765569",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",27,TRUE,FALSE,NA,NA
"11","@AlainSchmiidt @DefenderH312y @Nadjib_17 @ImamGho91329663 @RereSyafiq @dewo_lelono @6dias9 @NDiredja… https://t.co/VLKxvzrltp",FALSE,5,"AlainSchmiidt",2020-08-12 14:32:05,TRUE,"1293555671917445120","1293555861260926982","1263401572014292997","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","BersamaSahabat4",0,FALSE,FALSE,NA,NA
"12","RT @BeritaPAN: Gibran Sambangi kediaman Ketua Umum @Official_PAN @ZUL_Hasan. Dapat SK dukungan dan wejangan penuh makna tentang anak muda d…",FALSE,0,NA,2020-08-12 14:16:35,FALSE,NA,"1293551963770990594",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","zulhas_pan",1,TRUE,FALSE,NA,NA
"13","RT @DITJEN_PAS: Dalam kegiatan tersebut Reynhard menyerahkan SK Remisi Anak Nasional bagi 857 Anak di LPKA seluruh Indonesia, surat tanda k…",FALSE,0,NA,2020-08-12 14:15:51,FALSE,NA,"1293551777053200384",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Trihadiputra4",1,TRUE,FALSE,NA,NA
"14","Nah untuk prodi, SK mirip banget seperti di Indonesia, yaitu sudah memilih prodi sejak masuk. Adapun beberapa univ… https://t.co/goozfdoU72",FALSE,0,"cpmar611",2020-08-12 13:56:28,TRUE,"1293542612322758657","1293546901753618440","1187054158869721088","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cpmar611",0,FALSE,FALSE,NA,NA
"15","@SK_JiwonKim92 Senyum indonesia banget",FALSE,0,"SK_JiwonKim92",2020-08-12 13:41:40,FALSE,"1293529526996283392","1293543175412301826","1290279959550816259","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iGongYoo",0,FALSE,FALSE,NA,NA
"16","RT @Kemlu_RI: #SahabatKemlu, Jangan lupa bergabung pada webinar “The Future We Want, The UN We Need”, 13 Agustus 2020, Pukul 10.00. Ayo Daf…",FALSE,0,NA,2020-08-12 12:55:57,FALSE,NA,"1293531670331654145",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",30,TRUE,FALSE,NA,NA
"17","Perkembangan Situasi terkait Sebaran Pandemi COVID-19 di Slowakia per tanggal 12/8/2020
.
Silakan menghubungi hotli… https://t.co/6uekPrIyM1",FALSE,0,NA,2020-08-12 11:42:39,TRUE,NA,"1293513223929561088",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","indonesia_sk",0,FALSE,FALSE,NA,NA
